"sid","lat","lon","seq"
"538","-31.440430609034","-64.216688602848",26
"538","-31.439801292803","-64.21481910315",27
"538","-31.440050731372","-64.21475204791",28
"167","-31.484445202935","-64.244693683493",1
"167","-31.484604906754","-64.237932887431",2
"167","-31.492076190177","-64.237935569654",3
"167","-31.492033877838","-64.25220223939",4
"167","-31.491741121672","-64.252266612406",5
"167","-31.484445202935","-64.244693683493",6
"344","-31.4046650162","-64.170699447078",1
"344","-31.403987384548","-64.168317645473",2
"344","-31.406125570485","-64.167464703003",3
"344","-31.406743666551","-64.169937699718",4
"344","-31.4046650162","-64.170699447078",5
"345","-31.40774176864","-64.169505864066",1
"345","-31.407785263672","-64.1694870886",2
"345","-31.407828758685","-64.169470995346",3
"345","-31.408817692486","-64.169127672593",4
"345","-31.406116413476","-64.159498542229",5
"345","-31.398250212419","-64.162368505875",6
"345","-31.399756082342","-64.166806053052",7
"345","-31.399393782891","-64.166973523477",8
"345","-31.399548318373","-64.167587414066",9
"345","-31.40055336515","-64.167184412161",10
"345","-31.402421487286","-64.173909380715",11
"345","-31.405278543338","-64.172888129633",12
"345","-31.408366721652","-64.171775012891",13
"345","-31.407676526051","-64.169523298422",14
"345","-31.406702460273","-64.1698143181",15
"345","-31.406743666551","-64.169937699718",16
"345","-31.4046650162","-64.170699447078",17
"345","-31.403987384548","-64.168317645473",18
"345","-31.406125570485","-64.167464703003",19
"345","-31.406702460273","-64.1698143181",20
"345","-31.407187777506","-64.16966947882",21
"345","-31.407375493876","-64.169615834633",22
"345","-31.407489954893","-64.169572919289",23
"345","-31.407613572634","-64.169540732781",24
"345","-31.407677670658","-64.169530003944",25
"345","-31.40774176864","-64.169505864066",26
"346","-31.406116413476","-64.159498542229",1
"346","-31.410113363128","-64.158042102737",2
"346","-31.411047333695","-64.161604076309",3
"346","-31.407144588394","-64.163163599423",4
"346","-31.406116413476","-64.159498542229",5
"347","-31.40861166547","-64.172590404434",1
"347","-31.407677670658","-64.169530003944",2
"347","-31.408817692486","-64.169127672593",3
"347","-31.409417457445","-64.171710639877",4
"347","-31.40967384435","-64.172204166336",5
"347","-31.40861166547","-64.172590404434",6
"340","-31.399046935662","-64.169572919313",1
"340","-31.399111039537","-64.169779449407",2
"340","-31.391848707853","-64.163419931832",3
"340","-31.388917973565","-64.15387126774",4
"340","-31.3887760138","-64.153415292207",5
"340","-31.394619083504","-64.158613413278",6
"340","-31.395196044016","-64.158393472138",7
"340","-31.395475364894","-64.159171312753",8
"340","-31.395951582181","-64.158999651376",9
"340","-31.399046935662","-64.169572919313",10
"341","-31.391125255183","-64.14651820042",1
"341","-31.380013911277","-64.146538941491",2
"341","-31.380061105069","-64.146811693603",3
"341","-31.378667365554","-64.151877534711",4
"341","-31.379841275582","-64.152294128834",5
"341","-31.379713041477","-64.152809112972",6
"341","-31.380940417877","-64.153238266408",7
"341","-31.380720590447","-64.154032200277",8
"341","-31.381471665376","-64.154332607688",9
"341","-31.381306795784","-64.154482811393",10
"341","-31.384420950296","-64.157358139458",11
"341","-31.385336858444","-64.157014816705",12
"341","-31.385684901198","-64.158152073327",13
"341","-31.391848707853","-64.163419931832",14
