"sid","lat","lon","seq"
"315","-31.467411712861","-64.189159598703",12
"315","-31.467260720852","-64.188258376475",13
"315","-31.467057110029","-64.187711205837",14
"315","-31.466743685763","-64.187164035199",15
"315","-31.466505757152","-64.186992373822",16
"315","-31.460712969774","-64.186930448751",17
"315","-31.460713670716","-64.186948438338",18
"315","-31.4608501991","-64.190452423445",19
"108","-31.443854015565","-64.197795952877",1
"108","-31.445181238356","-64.209316936419",2
"108","-31.438773782235","-64.207535949633",3
"108","-31.437913319048","-64.206656185076",4
"108","-31.437235927578","-64.206570354388",5
"108","-31.436888076001","-64.205840793535",6
"108","-31.437290851394","-64.2038666877",7
"108","-31.436375450273","-64.203630653307",8
"108","-31.435881129951","-64.202761617587",9
"108","-31.435990979136","-64.202353921816",10
"108","-31.435606506423","-64.202268091128",11
"108","-31.435460040212","-64.202289548801",12
"108","-31.434764322587","-64.201248851703",13
"108","-31.435423423623","-64.20114156334",14
"108","-31.435011486019","-64.198276964115",15
"108","-31.435542427484","-64.198223319933",16
"108","-31.435844513526","-64.198470083162",17
"108","-31.435871975846","-64.199113813326",18
"108","-31.43693384602","-64.199339118884",19
"108","-31.437071155941","-64.198083845064",20
"108","-31.437327467253","-64.196962681697",21
"108","-31.437580497228","-64.195742635012",22
"108","-31.440996464857","-64.19686066162",23
"108","-31.443854015565","-64.197795952877",24
"357","-31.445812806735","-64.232407536824",1
"357","-31.445863148959","-64.24287351642",2
"357","-31.451725544787","-64.242900338508",3
"357","-31.451611293469","-64.239438704182",4
"357","-31.451478228476","-64.23944623649",5
"357","-31.45139376403","-64.239451017698",6
"357","-31.451004778195","-64.235151436647",7
"357","-31.450739351639","-64.234252896627",8
"357","-31.450293158752","-64.233324852308",9
"357","-31.450084934678","-64.233110275587",10
"357","-31.449669629235","-64.232977506241",11
"357","-31.449277203943","-64.23280182155",12
"357","-31.448902984665","-64.232656666273",13
"357","-31.448647947129","-64.23255774053",14
"357","-31.4484282783","-64.232454475482",15
"357","-31.448181150252","-64.232415583452",16
"357","-31.447819609897","-64.232471909841",17
"357","-31.447515274211","-64.232654300054",18
"357","-31.447183478541","-64.232874241194",19
"357","-31.446883717305","-64.233070042452",20
"357","-31.446643449973","-64.233158555349",21
"357","-31.44643064125","-64.233037855943",22
"357","-31.446263597505","-64.232842054685",23
"357","-31.446080535525","-64.23253091844",24
"357","-31.446033053766","-64.232459839901",25
"357","-31.445948959506","-64.232410219034",26
